Brand,Model,AccelSec,RapidCharge,PowerTrain,BodyStyle,Segment,Subtitle,Acceleration,TopSpeed,Range,NumberofSeats,PriceinGermany,PriceinUK
BMW ,iX3 ,6.8,Yes,RWD,SUV,D,Battery Electric Vehicle |       74 kWh,6.8 sec,180 km/h,385 km,5,"€66,300","£58,850"
Honda ,e ,9.5,Yes,RWD,Hatchback,B,Battery Electric Vehicle |       28.5 kWh ,9.0 sec,145 km/h,170 km,4,"€33,850","£27,660"
Peugeot ,e-208 ,8.1,Yes,FWD,Hatchback,B,Battery Electric Vehicle |       45 kWh ,8.1 sec,150 km/h,275 km,5,"€30,450","£27,225"
Tesla ,Model 3 Standard Range Plus,5.6,Yes,RWD,Sedan,D,Battery Electric Vehicle |       50 kWh ,5.6 sec,225 km/h,340 km,5,"€43,560","£40,990"
Mercedes ,EQC 400 4MATIC,5.1,Yes,AWD,SUV,D,Battery Electric Vehicle |       80 kWh,5.1 sec,180 km/h,370 km,5,"€66,069","£65,720"
Nissan ,Leaf ,7.9,Yes,FWD,Hatchback,C,Battery Electric Vehicle |       36 kWh ,7.9 sec,144 km/h,220 km,5,"€29,990","£25,995"
Hyundai ,Kona Electric 64 kWh,7.9,Yes,FWD,SUV,B,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,395 km,5,"€41,850","£32,550"
Hyundai ,IONIQ Electric,9.7,Yes,FWD,Liftback,C,Battery Electric Vehicle |       38.3 kWh,9.7 sec,165 km/h,250 km,5,"€35,350","£30,550"
Volkswagen ,ID.3 Pro S,7.9,Yes,RWD,Hatchback,C,Battery Electric Vehicle |       77 kWh,7.9 sec,160 km/h,450 km,4,"€41,995","£38,800"
Porsche ,Taycan Turbo S,2.8,Yes,AWD,Sedan,F,Battery Electric Vehicle |       83.7 kWh,2.8 sec,260 km/h,390 km,4,"€186,336","£138,830"
MG ,ZS EV,8.2,Yes,FWD,SUV,B,Battery Electric Vehicle |       42.5 kWh ,8.2 sec,140 km/h,220 km,5,"€31,990","£25,995"
Mini ,Cooper SE ,7.3,Yes,FWD,Hatchback,B,Battery Electric Vehicle |       28.9 kWh,7.3 sec,150 km/h,185 km,4,"€32,500","£26,000"
Opel ,Corsa-e ,8.1,Yes,FWD,Hatchback,B,Battery Electric Vehicle |       45 kWh ,8.1 sec,150 km/h,275 km,5,"€29,000","£27,140"
Tesla ,Model Y Long Range Dual Motor,5.1,Yes,AWD,SUV,D,Battery Electric Vehicle |       76 kWh ,5.1 sec,217 km/h,450 km,7,"€59,965","£54,000"
Volkswagen ,ID.3 Pro,9,Yes,RWD,Hatchback,C,Battery Electric Vehicle |       58 kWh,9.6 sec,160 km/h,350 km,5,"€34,995","£28,420"
BMW ,i3 120 Ah,7.3,Yes,RWD,Hatchback,B,Battery Electric Vehicle |       37.9 kWh,7.3 sec,150 km/h,235 km,4,"€39,000","£31,305"
Peugeot ,e-2008 SUV ,8.5,Yes,FWD,SUV,B,Battery Electric Vehicle |       45 kWh ,8.5 sec,150 km/h,250 km,5,"€35,450","£30,730"
Audi ,e-tron 50 quattro,6.8,Yes,AWD,SUV,E,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 km/h,280 km,5,"€69,100","£60,600"
Kia ,e-Niro 64 kWh,7.8,Yes,FWD,SUV,C,Battery Electric Vehicle |       64 kWh,7.8 sec,167 km/h,370 km,5,"€39,090","£32,445"
